date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,0,1,False,4603,6,9,9465,98,0,36,40,34,66,51.5,11,29,37.9,23,37,62.2,0,19,26,73.1,8,25,13,8,6,0.68,20,0,29,13,0,16,9,0,0,42,4,5,42,19,33,19,,[],US/Eastern,US/Eastern,US/Eastern,,,
2022-11-12,1,0,False,815,2,2,3200,94,0,57,37,35,57,61.4,9,24,37.5,26,33,78.8,0,15,21,71.4,5,35,12,10,3,1.0,10,0,22,11,3,18,0,0,0,52,0,0,40,15,40,12,,[],US/Eastern,US/Eastern,,,,
2022-11-19,0,1,False,630,3,2,7300,72,0,34,38,25,59,42.4,12,25,48.0,13,34,38.2,0,10,15,66.7,7,32,12,6,7,0.92,11,0,9,5,0,5,3,0,0,22,2,1,42,13,39,13,True,[],US/Eastern,US/Eastern,US/Central,,,
