date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,11313,1,1,15000,72,12,33,39,23,42,54.8,4,14,28.6,19,28,67.9,3,22,29,75.9,5,20,14,6,3,0.93,15,0,16,4,0,20,2,0,0,30,0,2,27,15,25,15,,[],US/Central,US/Central,US/Central,0,0,0
2022-11-11,1,0,False,10763,0,0,15000,82,12,39,43,35,68,51.5,3,22,13.6,32,46,69.6,2,9,19,47.4,21,33,15,12,6,1.07,13,0,27,19,0,32,2,0,0,52,0,2,56,14,54,14,,[],US/Central,US/Central,US/Central,0,0,0
2022-11-17,1,0,False,11313,2,2,15000,93,11,47,46,34,66,51.5,13,33,39.4,21,33,63.6,3,12,16,75.0,6,22,17,8,4,1.7,22,0,12,12,0,27,3,0,1,30,2,1,31,10,28,10,,[],US/Central,US/Central,US/Pacific,0,0,0
