date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,0,1,False,10715,2,1,17950,49,0,27,22,22,55,40.0,0,6,0.0,22,49,44.9,8,5,8,62.5,12,13,13,3,3,1.18,12,0,2,8,1,10,3,0,0,34,1,2,28,12,25,11,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
2022-11-12,0,1,False,1264,16,2,4000,50,0,23,27,19,49,38.8,8,24,33.3,11,25,44.0,0,4,9,44.4,6,18,11,5,1,0.92,13,0,0,5,0,12,2,0,0,20,1,1,26,12,24,12,,[],US/Eastern,US/Eastern,US/Eastern,,,
2022-11-18,0,1,False,0,1,2,2500,73,0,33,40,29,53,54.7,2,12,16.7,27,41,65.9,4,13,18,72.2,5,28,11,8,4,1.22,16,0,11,7,2,14,2,0,0,50,1,1,35,11,33,9,True,[],,US/Eastern,US/Central,0,0,0
