date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-07,0,1,False,18750,2,1,23500,63,0,26,37,23,67,34.3,7,25,28.0,16,42,38.1,5,10,13,76.9,11,22,10,4,1,0.63,19,0,7,12,0,18,5,0,0,28,2,3,38,16,33,16,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
2022-11-10,1,0,False,1283,6,5,2700,87,0,36,51,28,62,45.2,5,19,26.3,23,43,53.5,0,26,33,78.8,16,25,20,5,7,1.18,16,0,14,16,0,20,2,0,0,38,2,0,43,17,41,17,,[],US/Eastern,US/Eastern,,,,
2022-11-11,0,1,False,2363,5,6,5000,75,0,32,43,28,64,43.8,9,29,31.0,19,35,54.3,4,10,16,62.5,6,14,21,10,4,3.5,20,0,7,4,0,20,2,0,0,34,1,1,22,6,20,6,,[],US/Eastern,US/Eastern,US/Eastern,1,0,0
2022-11-13,1,0,False,,2,2,2700,108,0,45,63,38,61,62.3,14,31,45.2,24,30,80.0,0,18,26,69.2,9,21,23,13,6,1.64,22,0,10,13,0,29,1,0,0,46,0,1,31,14,30,14,,[],US/Eastern,US/Eastern,,,,
2022-11-16,1,0,False,889,2,3,2700,69,0,31,38,30,61,49.2,5,19,26.3,25,42,59.5,0,4,5,80.0,4,12,14,10,1,0.74,13,0,2,4,1,15,6,0,0,48,4,2,22,20,16,19,,[],US/Eastern,US/Eastern,US/Eastern,,,
2022-11-18,0,1,False,1524,17,5,3000,71,0,38,33,27,59,45.8,7,20,35.0,20,39,51.3,2,10,12,83.3,9,16,8,4,2,0.67,17,0,15,13,0,15,3,0,0,30,3,0,28,12,25,12,True,[],,US/Eastern,US/Mountain,0,0,0
