date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,3128,5,6,11877,65,0,36,29,24,63,38.1,6,21,28.6,18,42,42.9,3,11,15,73.3,12,19,9,7,7,0.64,20,0,2,15,0,20,3,0,0,28,1,2,34,14,31,14,,[],US/Pacific,US/Pacific,US/Pacific,0,0,0
2022-11-12,1,0,False,3607,4,6,11877,54,0,21,33,19,47,40.4,5,18,27.8,14,29,48.3,5,11,19,57.9,7,21,9,6,6,0.45,19,0,10,6,2,15,7,0,0,24,2,5,35,22,28,20,,[],US/Pacific,US/Pacific,US/Central,0,0,1
2022-11-16,0,1,False,3071,1,2,4000,62,0,27,35,20,46,43.5,1,8,12.5,19,38,50.0,2,21,24,87.5,5,20,9,4,4,0.9,14,0,2,4,0,6,2,0,0,30,0,2,27,10,25,10,,[],,US/Pacific,,0,0,0
2022-11-19,1,0,False,1364,0,0,11877,66,0,26,40,19,44,43.2,9,24,37.5,10,20,50.0,1,19,23,82.6,8,18,13,4,5,0.68,18,0,11,9,1,17,4,0,0,18,1,3,30,20,26,19,,[],US/Pacific,US/Pacific,US/Central,0,0,0
