date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,919,4,0,5100,81,0,37,44,29,60,48.3,10,23,43.5,19,37,51.4,4,13,19,68.4,14,22,18,9,5,1.5,8,0,22,10,1,23,0,0,0,32,0,0,36,13,36,12,,[],US/Pacific,US/Pacific,,0,0,0
2022-11-10,1,0,False,956,11,9,5100,79,0,32,47,29,57,50.9,6,16,37.5,23,41,56.1,1,15,24,62.5,6,28,15,5,3,1.36,18,0,26,10,0,16,2,0,1,40,1,1,36,11,34,11,,[],US/Pacific,US/Pacific,US/Eastern,0,0,0
2022-11-13,1,0,False,835,6,5,5100,74,0,39,35,24,60,40.0,10,22,45.5,14,38,36.8,2,16,21,76.2,11,25,14,4,2,2.33,20,0,14,15,0,11,4,0,1,24,1,3,40,6,36,6,,[],US/Pacific,US/Pacific,US/Eastern,0,0,0
2022-11-18,1,0,False,954,15,10,5100,89,0,31,47,31,75,41.3,13,28,46.4,18,47,38.3,6,14,19,73.7,15,20,16,6,2,1.6,24,0,15,11,0,21,3,0,1,26,2,1,38,10,35,10,,[],US/Pacific,US/Pacific,US/Mountain,2,0,0
