date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,0,1,False,7899,1,1,10052,57,0,31,26,24,62,38.7,4,16,25.0,20,46,43.5,4,5,7,71.4,6,17,9,5,2,0.75,18,0,4,15,0,11,1,0,0,26,1,0,24,12,23,12,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
2022-11-11,1,0,False,573,0,0,3000,104,0,47,57,41,74,55.4,10,21,47.6,31,53,58.5,0,12,17,70.6,10,20,29,14,1,2.9,24,0,20,9,2,35,5,0,1,52,2,3,35,12,30,10,,[],US/Eastern,US/Eastern,US/Eastern,,,
2022-11-14,0,1,False,6501,3,0,6500,50,0,27,23,20,45,44.4,6,15,40.0,14,30,46.7,2,4,4,100.0,3,17,11,2,2,0.79,19,0,5,9,0,6,8,0,0,20,1,7,28,14,20,14,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
2022-11-17,0,1,False,571,5,0,2500,65,0,23,42,29,56,51.8,6,16,37.5,23,40,57.5,0,1,6,16.7,7,22,13,7,2,0.62,21,0,7,8,0,12,3,0,0,38,1,2,32,21,29,21,,[],US/Eastern,US/Eastern,US/Eastern,,,
