date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,1314,0,0,5000,81,0,42,39,32,63,50.8,10,30,33.3,22,33,66.7,0,7,12,58.3,14,35,21,14,1,1.31,18,0,17,18,1,22,1,0,0,42,1,0,50,17,49,16,,[],US/Eastern,US/Eastern,,,,
2022-11-12,0,1,False,5974,3,1,9500,67,0,30,37,26,62,41.9,8,21,38.1,18,41,43.9,3,7,12,58.3,11,16,16,4,2,1.45,15,0,0,16,1,14,4,0,1,28,3,1,31,12,27,11,,[],US/Central,US/Eastern,US/Central,0,0,0
2022-11-15,0,1,False,7180,9,6,10133,76,0,35,41,29,69,42.0,13,24,54.2,16,45,35.6,8,5,7,71.4,4,26,17,7,3,2.13,16,0,21,5,1,10,7,0,0,32,4,5,37,9,30,8,,[],US/Eastern,US/Eastern,US/Eastern,0,1,0
2022-11-18,1,0,False,1452,14,16,5000,85,0,37,48,26,62,41.9,9,30,30.0,17,32,53.1,0,24,34,70.6,8,30,14,9,4,1.0,18,0,17,9,0,20,1,0,0,26,0,1,39,14,38,14,,[],US/Eastern,US/Eastern,US/Eastern,,,
