date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,0,1,False,11109,0,1,19772,50,0,21,29,16,52,30.8,1,8,12.5,15,44,34.1,6,17,20,85.0,6,14,8,6,1,0.42,14,0,1,8,1,5,5,0,1,26,2,3,25,20,20,19,,[],US/Eastern,US/Central,US/Eastern,0,0,0
2022-11-12,0,1,False,14876,0,0,14846,44,0,16,28,15,53,28.3,4,24,16.7,11,29,37.9,2,10,11,90.9,6,14,6,4,1,1.2,17,0,6,4,2,9,2,0,2,16,2,0,22,7,20,5,,[],US/Eastern,US/Central,US/Eastern,0,0,0
2022-11-15,1,0,False,1237,2,5,7257,98,0,50,48,38,71,53.5,11,27,40.7,27,44,61.4,0,11,27,40.7,13,27,23,19,2,2.88,17,0,15,17,0,31,3,0,1,48,1,2,43,8,40,8,,[],US/Central,US/Central,,,,
2022-11-18,0,1,False,1910,5,3,10411,62,0,32,30,20,52,38.5,12,29,41.4,8,23,34.8,2,10,16,62.5,9,23,15,4,4,1.5,15,0,11,4,3,10,4,0,0,14,1,3,36,13,32,10,,[],US/Eastern,US/Central,US/Eastern,0,0,0
