date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,5483,8,3,6800,73,14,35,38,21,54,38.9,4,21,19.0,17,33,51.5,6,27,38,71.1,10,25,13,8,3,1.08,11,0,25,10,1,21,4,0,1,28,1,3,39,13,35,12,,[],US/Central,US/Central,US/Central,0,0,0
2022-11-12,1,0,False,5320,2,1,6800,77,14,36,41,30,69,43.5,8,32,25.0,22,37,59.5,4,9,14,64.3,16,26,20,6,7,1.54,13,0,28,16,0,19,2,0,3,40,1,1,44,13,42,13,,[],US/Central,US/Central,US/Central,0,0,0
2022-11-15,1,0,False,5038,16,7,6800,63,15,31,32,21,59,35.6,2,21,9.5,19,38,50.0,1,19,27,70.4,13,27,15,5,5,1.5,12,0,12,15,0,14,1,0,0,34,1,0,41,10,40,10,,[],US/Central,US/Central,US/Central,0,0,0
2022-11-18,1,0,False,4959,0,0,6800,95,15,53,42,34,64,53.1,10,20,50.0,24,44,54.5,6,17,19,89.5,9,30,22,9,10,1.38,19,1,18,26,0,29,7,0,1,40,3,4,46,16,39,16,,[],US/Central,US/Central,US/Central,0,0,0
