date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,3072,2,3,8600,93,0,34,59,35,73,47.9,7,20,35.0,28,53,52.8,2,16,24,66.7,17,29,17,8,6,1.55,15,0,25,15,0,16,6,0,0,52,4,2,52,11,46,11,,[],US/Eastern,US/Eastern,,0,0,0
2022-11-13,0,1,False,4083,8,8,7300,59,0,25,34,19,48,39.6,3,8,37.5,16,40,40.0,2,18,27,66.7,7,25,7,7,3,0.54,18,0,8,9,0,16,1,0,0,22,0,3,33,13,32,13,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
2022-11-18,1,0,False,3269,0,0,8600,68,0,43,25,27,69,39.1,5,18,27.8,22,51,43.1,3,9,13,69.2,10,32,14,7,10,1.56,16,0,17,17,2,16,6,0,0,42,3,3,48,11,42,9,,[],US/Eastern,US/Eastern,US/Central,0,0,0
