date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,11109,0,1,19772,99,0,49,50,40,65,61.5,11,28,39.3,29,37,78.4,1,8,10,80.0,8,28,20,10,6,1.43,20,0,25,5,0,26,2,0,0,50,2,1,38,14,36,14,,[],US/Eastern,US/Eastern,US/Central,1,0,0
2022-11-12,1,0,False,12977,7,5,19772,73,0,39,34,24,49,49.0,4,17,23.5,20,32,62.5,1,21,32,65.6,7,25,14,12,5,1.0,19,0,21,10,0,18,2,0,0,34,1,1,34,14,32,14,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
2022-11-16,1,0,False,5034,1,1,19772,107,0,57,50,39,76,51.3,15,33,45.5,24,43,55.8,4,14,17,82.4,11,26,21,17,4,1.62,16,0,37,19,0,26,3,0,1,44,4,0,40,13,37,13,,[],US/Eastern,US/Eastern,US/Eastern,0,0,0
