date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-10,0,1,False,1011,0,1,6500,58,0,27,31,23,52,44.2,4,13,30.8,19,39,48.7,0,8,12,66.7,2,19,10,3,0,0.53,16,0,6,5,0,6,3,0,0,26,0,3,24,19,21,19,,[],US/Eastern,,US/Eastern,,,
2022-11-12,0,1,False,4789,2,1,5028,54,0,21,33,22,63,34.9,3,17,17.6,19,46,41.3,0,7,12,58.3,3,15,7,9,0,0.5,21,0,4,4,1,10,2,0,0,24,1,1,20,15,18,14,,[],US/Central,,US/Central,,,
2022-11-14,0,1,False,1696,0,1,18865,46,0,23,23,17,47,36.2,7,25,28.0,10,22,45.5,0,5,10,50.0,4,14,12,7,1,0.75,17,0,8,3,2,9,4,0,0,18,1,3,22,18,18,16,,[],US/Eastern,,US/Eastern,,,
