date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-09,1,0,False,7125,16,13,20356,99,0,36,47,34,71,47.9,7,18,38.9,27,53,50.9,5,24,32,75.0,16,32,14,6,9,0.82,21,0,4,29,1,20,3,0,1,40,2,1,51,18,48,17,,[],US/Eastern,US/Eastern,US/Eastern,2,0,0
2022-11-12,1,0,False,4583,3,4,20356,92,0,31,61,38,62,61.3,8,14,57.1,30,48,62.5,1,8,15,53.3,11,26,19,3,6,2.11,13,0,18,20,2,18,2,0,0,44,0,2,39,11,37,9,,[],US/Eastern,US/Eastern,US/Central,0,0,0
2022-11-15,1,0,False,5518,8,5,20356,63,0,35,28,24,57,42.1,7,22,31.8,17,35,48.6,4,8,10,80.0,5,24,11,9,8,0.85,16,0,10,6,0,18,2,0,0,24,2,0,31,13,29,13,,[],US/Eastern,US/Eastern,US/Central,0,0,0
2022-11-18,1,0,False,,5,6,2500,66,0,42,24,22,58,37.9,3,16,18.8,19,42,45.2,1,19,20,95.0,5,24,7,2,4,0.64,17,0,10,8,0,16,3,0,0,32,3,0,32,11,29,11,True,[],,US/Eastern,US/Pacific,0,0,0
