date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,1,0,False,14876,1,0,14846,84,0,39,45,27,72,37.5,12,34,35.3,15,38,39.5,5,18,22,81.8,20,29,18,14,11,1.8,13,0,13,19,1,26,3,0,0,28,0,3,52,11,49,10,,[],US/Eastern,US/Eastern,US/Central,0,0,0
2022-11-12,1,0,False,14876,0,0,14846,63,0,31,32,24,48,50.0,2,19,10.5,22,29,75.9,1,13,17,76.5,9,27,13,2,2,0.93,17,0,5,10,0,7,6,0,0,40,3,3,42,14,36,14,,[],US/Eastern,US/Eastern,US/Central,0,0,0
2022-11-16,1,0,False,14876,13,6,14846,75,0,32,43,27,56,48.2,9,27,33.3,18,29,62.1,1,12,18,66.7,5,28,12,3,5,2.0,10,0,2,8,0,6,2,0,0,30,1,1,35,6,33,6,,[],US/Eastern,US/Eastern,US/Central,0,0,0
