date,home,away,conference_game,attendance,lead_changes,times_tied,arena_capacity,points,rank,first_half_points,second_half_points,fgm,fga,fg_perc,threes_made,threes_attempted,threes_pct,twos_made,twos_attempted,twos_pct,block_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,total_turnovers,personal_rebounds,player_turnovers,neutral_site,refs,game_time_zone,normal_tz,opp_tz,foulouts,team_tech_fouls,coach_tech_fouls
2022-11-08,0,1,False,11018,4,3,12410,65,0,40,25,24,58,41.4,9,14,64.3,15,44,34.1,8,8,10,80.0,7,25,14,5,2,1.08,29,0,12,9,1,4,4,0,0,22,4,0,36,14,32,13,,[],US/Eastern,US/Eastern,US/Eastern,2,0,0
2022-11-12,1,0,False,1525,4,0,1950,87,0,46,41,36,71,50.7,6,17,35.3,30,54,55.6,0,9,12,75.0,12,28,13,12,5,3.25,17,0,16,16,0,14,3,0,0,56,1,2,43,4,40,4,,[],US/Eastern,US/Eastern,,,,
2022-11-18,0,1,False,,3,1,2500,68,0,27,41,25,67,37.3,6,21,28.6,19,46,41.3,0,12,16,75.0,11,22,13,4,4,2.17,13,0,11,13,0,11,6,0,0,32,3,3,39,6,33,6,True,[],,US/Eastern,US/Eastern,,,
